"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"NPCName.FungiBulb","Fungi Bulb"
"NPCName.FungiSpore","Fungi Spore"
"NPCName.FungoFish","Fungo Fish"
"NPCName.Gastropod","Gastropod"
"NPCName.GemBunnyAmber","Amber Bunny"
"NPCName.GemBunnyAmethyst","Amethyst Bunny"
"NPCName.GemBunnyDiamond","Diamond Bunny"
"NPCName.GemBunnyEmerald","Emerald Bunny"
"NPCName.GemBunnyRuby","Ruby Bunny"
"NPCName.GemBunnySapphire","Sapphire Bunny"
"NPCName.GemBunnyTopaz","Topaz Bunny"
"NPCName.GemSquirrelAmber","Amber Squirrel"
"NPCName.GemSquirrelAmethyst","Amethyst Squirrel"
"NPCName.GemSquirrelDiamond","Diamond Squirrel"
"NPCName.GemSquirrelEmerald","Emerald Squirrel"
"NPCName.GemSquirrelRuby","Ruby Squirrel"
"NPCName.GemSquirrelSapphire","Sapphire Squirrel"
"NPCName.GemSquirrelTopaz","Topaz Squirrel"
"NPCName.Ghost","Ghost"
"NPCName.GiantBat","Giant Bat"
"NPCName.GiantCursedSkull","Giant Cursed Skull"
"NPCName.GiantFlyingAntlion","Giant Antlion Swarmer"
"NPCName.GiantFlyingFox","Giant Flying Fox"
"NPCName.GiantFungiBulb","Giant Fungi Bulb"
"NPCName.GiantShelly","Giant Shelly"
"NPCName.GiantShelly2","Giant Shelly"
"NPCName.GiantTortoise","Giant Tortoise"
"NPCName.GiantWalkingAntlion","Giant Antlion Charger"
"NPCName.GiantWormBody","Giant Worm"
"NPCName.GiantWormHead","Giant Worm"
"NPCName.GiantWormTail","Giant Worm"
"NPCName.GigaZapper","Gigazapper"
"NPCName.GingerbreadMan","Gingerbread Man"
"NPCName.GlowingSnail","Glowing Snail"
"NPCName.Gnome","Gnome"
"NPCName.GoblinArcher","Goblin Archer"
"NPCName.GoblinPeon","Goblin Peon"
"NPCName.GoblinScout","Goblin Scout"
"NPCName.GoblinShark","Hemogoblin Shark"
"NPCName.GoblinSorcerer","Goblin Sorcerer"
"NPCName.GoblinSummoner","Goblin Summoner"
"NPCName.GoblinThief","Goblin Thief"
"NPCName.GoblinTinkerer","Goblin Tinkerer"
"NPCName.GoblinWarrior","Goblin Warrior"
"NPCName.GoldBird","Gold Bird"
"NPCName.GoldBunny","Gold Bunny"
"NPCName.GoldButterfly","Gold Butterfly"
"NPCName.GoldDragonfly","Gold Dragonfly"
"NPCName.GoldenSlime","Golden Slime"
"NPCName.Goldfish","Goldfish"
"NPCName.GoldfishWalker","Goldfish"
"NPCName.GoldFrog","Gold Frog"
"NPCName.GoldGoldfish","Gold Goldfish"
"NPCName.GoldGoldfishWalker","Gold Goldfish"
"NPCName.GoldGrasshopper","Gold Grasshopper"
"NPCName.GoldLadyBug","Gold Ladybug"
"NPCName.GoldMouse","Gold Mouse"
"NPCName.GoldSeahorse","Gold Seahorse"
"NPCName.GoldWaterStrider","Gold Water Strider"
"NPCName.GoldWorm","Gold Worm"
"NPCName.Golem","Golem"
"NPCName.GolemFistLeft","Golem Fist"
"NPCName.GolemFistRight","Golem Fist"
"NPCName.GolemHead","Golem Head"
"NPCName.GolemHeadFree","Golem Head"
"NPCName.Golfer","Golfer"
"NPCName.GolferRescue","Golfer"
"NPCName.GraniteFlyer","Granite Elemental"
"NPCName.GraniteGolem","Granite Golem"
"NPCName.Grasshopper","Grasshopper"
"NPCName.GrayGrunt","Gray Grunt"
"NPCName.Grebe","Grebe"
"NPCName.Grebe2","Grebe"
"NPCName.GreekSkeleton","Hoplite"
"NPCName.GreenDragonfly","Dragonfly"
"NPCName.GreenEye","Demon Eye"
"NPCName.GreenJellyfish","Green Jellyfish"
"NPCName.GreenSlime","Green Slime"
"NPCName.Grubby","Grubby"
"NPCName.Guide","Guide"
"NPCName.HallowBoss","Empress of Light"
"NPCName.Harpy","Harpy"
"NPCName.HeadacheSkeleton","Skeleton"
"NPCName.HeadlessHorseman","Headless Horseman"
"NPCName.HellArmoredBones","Hell Armored Bones"
"NPCName.HellArmoredBonesMace","Hell Armored Bones"
"NPCName.HellArmoredBonesSpikeShield","Hell Armored Bones"
"NPCName.HellArmoredBonesSword","Hell Armored Bones"
"NPCName.Hellbat","Hellbat"
"NPCName.HellButterfly","Hell Butterfly"
"NPCName.Hellhound","Hellhound"
"NPCName.Herpling","Herpling"
"NPCName.HoppinJack","Hoppin' Jack"
"NPCName.Hornet","Hornet"
"NPCName.HornetFatty","Hornet"
"NPCName.HornetHoney","Hornet"
"NPCName.HornetLeafy","Hornet"
"NPCName.HornetSpikey","Hornet"
"NPCName.HornetStingy","Hornet"
"NPCName.IceBat","Ice Bat"
"NPCName.IceElemental","Ice Elemental"
"NPCName.IceGolem","Ice Golem"
"NPCName.IceMimic","Ice Mimic"
"NPCName.IceQueen","Ice Queen"
"NPCName.IceSlime","Ice Slime"
"NPCName.IceTortoise","Ice Tortoise"
"NPCName.IchorSticker","Ichor Sticker"
"NPCName.IcyMerman","Icy Merman"
"NPCName.IlluminantBat","Illuminant Bat"
"NPCName.IlluminantSlime","Illuminant Slime"
"NPCName.JungleBat","Jungle Bat"
"NPCName.JungleCreeper","Jungle Creeper"
"NPCName.JungleCreeperWall","Jungle Creeper"
"NPCName.JungleSlime","Jungle Slime"
"NPCName.KingSlime","King Slime"
"NPCName.Krampus","Krampus"
"NPCName.LacBeetle","Lac Beetle"
"NPCName.LadyBug","Ladybug"
"NPCName.LarvaeAntlion","Antlion Larva"
"NPCName.Lavabat","Lava Bat"
"NPCName.Lavafly","Lavafly"
"NPCName.LavaSlime","Lava Slime"
"NPCName.LeechBody","Leech"
"NPCName.LeechHead","Leech"
"NPCName.LeechTail","Leech"
"NPCName.LightMummy","Light Mummy"
"NPCName.LightningBug","Lightning Bug"
"NPCName.Lihzahrd","Lihzahrd"
"NPCName.LihzahrdCrawler","Lihzahrd"
"NPCName.LostGirl","Lost Girl"
"NPCName.LunarTowerNebula","Nebula Pillar"
"NPCName.LunarTowerSolar","Solar Pillar"
"NPCName.LunarTowerStardust","Stardust Pillar"
"NPCName.LunarTowerVortex","Vortex Pillar"
"NPCName.Maggot","Maggot"
"NPCName.MaggotZombie","Maggot Zombie"
"NPCName.MagmaSnail","Magma Snail"
"NPCName.ManEater","Man Eater"
"NPCName.MartianDrone","Martian Drone"
"NPCName.MartianEngineer","Martian Engineer"
"NPCName.MartianOfficer","Martian Officer"
"NPCName.MartianProbe","Martian Probe"
"NPCName.MartianSaucer","Martian Saucer"
"NPCName.MartianSaucerCannon","Martian Saucer Cannon"
"NPCName.MartianSaucerCore","Martian Saucer"
"NPCName.MartianSaucerTurret","Martian Saucer Turret"
"NPCName.MartianTurret","Tesla Turret"
"NPCName.MartianWalker","Martian Walker"
"NPCName.Mechanic","Mechanic"
"NPCName.Medusa","Medusa"
"NPCName.Merchant","Merchant"
"NPCName.MeteorHead","Meteor Head"
"NPCName.Mimic","Mimic"
"NPCName.MisassembledSkeleton","Skeleton"
"NPCName.MisterStabby","Mister Stabby"
"NPCName.MoonLordCore","Moon Lord's Core"
"NPCName.MoonLordFreeEye","True Eye of Cthulhu"
"NPCName.MoonLordHand","Moon Lord's Hand"
"NPCName.MoonLordHead","Moon Lord"
"NPCName.MoonLordLeechBlob","Moon Leech Clot"
"NPCName.MossHornet","Moss Hornet"
"NPCName.Moth","Moth"
"NPCName.MotherSlime","Mother Slime"
"NPCName.Mothron","Mothron"
"NPCName.MothronEgg","Mothron Egg"
"NPCName.MothronSpawn","Baby Mothron"
"NPCName.MourningWood","Mourning Wood"
"NPCName.Mouse","Mouse"
"NPCName.Mummy","Mummy"
"NPCName.MushiLadybug","Mushi Ladybug"
"NPCName.Nailhead","Nailhead"
"NPCName.NebulaBeast","Evolution Beast"
"NPCName.NebulaBrain","Nebula Floater"
"NPCName.NebulaHeadcrab","Brain Suckler"
"NPCName.NebulaSoldier","Predictor"
"NPCName.Necromancer","Necromancer"
"NPCName.NecromancerArmored","Necromancer"
"NPCName.Nurse","Nurse"
"NPCName.Nutcracker","Nutcracker"
"NPCName.NutcrackerSpinning","Nutcracker"
"NPCName.Nymph","Nymph"
"NPCName.OldMan","Old Man"
"NPCName.OrangeDragonfly","Dragonfly"
"NPCName.Owl","Owl"
"NPCName.Painter","Painter"
"NPCName.Paladin","Paladin"
"NPCName.PantlessSkeleton","Skeleton"
"NPCName.Parrot","Parrot"
"NPCName.PartyBunny","Bunny"
"NPCName.PartyGirl","Party Girl"
"NPCName.Penguin","Penguin"
"NPCName.PenguinBlack","Penguin"
"NPCName.PigronCorruption","Pigron"
"NPCName.PigronCrimson","Pigron"
"NPCName.PigronHallow","Pigron"
"NPCName.PincushionZombie","Zombie"
"NPCName.PinkJellyfish","Pink Jellyfish"
"NPCName.Pinky","Pinky"
"NPCName.Piranha","Piranha"
"NPCName.Pirate","Pirate"
"NPCName.PirateCaptain","Pirate Captain"
"NPCName.PirateCorsair","Pirate Corsair"
"NPCName.PirateCrossbower","Pirate Crossbower"
"NPCName.PirateDeadeye","Pirate Deadeye"
"NPCName.PirateDeckhand","Pirate Deckhand"
"NPCName.PirateGhost","Pirate's Curse"
"NPCName.PirateShip","Flying Dutchman"
"NPCName.PirateShipCannon","Dutchman Cannon"
"NPCName.Pixie","Pixie"
"NPCName.Plantera","Plantera"
"NPCName.PlanterasHook","Plantera's Hook"
"NPCName.PlanterasTentacle","Plantera's Tentacle"
"NPCName.Poltergeist","Poltergeist"
"NPCName.PossessedArmor","Possessed Armor"
"NPCName.PresentMimic","Present Mimic"
"NPCName.PrimeCannon","Prime Cannon"
"NPCName.PrimeLaser","Prime Laser"
"NPCName.PrimeSaw","Prime Saw"
"NPCName.PrimeVice","Prime Vice"
"NPCName.Princess","Princess"
"NPCName.Probe","Probe"
"NPCName.Psycho","Psycho"
"NPCName.Pumpking","Pumpking"
"NPCName.PumpkingBlade","Pumpking"
"NPCName.Pupfish","Pupfish"
"NPCName.PurpleEye","Demon Eye"
"NPCName.PurpleSlime","Purple Slime"
"NPCName.QueenBee","Queen Bee"
"NPCName.QueenSlimeBoss","Queen Slime"
"NPCName.QueenSlimeMinionBlue","Crystal Slime"
"NPCName.QueenSlimeMinionPink","Bouncy Slime"
"NPCName.QueenSlimeMinionPurple","Heavenly Slime"
"NPCName.RaggedCaster","Ragged Caster"
"NPCName.RaggedCasterOpenCoat","Ragged Caster"
"NPCName.RainbowSlime","Rainbow Slime"
"NPCName.Rat","Rat"
"NPCName.Raven","Raven"
"NPCName.RayGunner","Ray Gunner"
"NPCName.Reaper","Reaper"
"NPCName.RedDevil","Red Devil"
"NPCName.RedDragonfly","Dragonfly"
"NPCName.RedSlime","Red Slime"
"NPCName.Retinazer","Retinazer"
"NPCName.RockGolem","Rock Golem"
"NPCName.RuneWizard","Rune Wizard"
"NPCName.RustyArmoredBonesAxe","Rusty Armored Bones"
"NPCName.RustyArmoredBonesFlail","Rusty Armored Bones"
"NPCName.RustyArmoredBonesSword","Rusty Armored Bones"
"NPCName.RustyArmoredBonesSwordNoArmor","Rusty Armored Bones"
"NPCName.Salamander","Salamander"
"NPCName.Salamander2","Salamander"
"NPCName.Salamander3","Salamander"
"NPCName.Salamander4","Salamander"
"NPCName.Salamander5","Salamander"
"NPCName.Salamander6","Salamander"
"NPCName.Salamander7","Salamander"
"NPCName.Salamander8","Salamander"
"NPCName.Salamander9","Salamander"
"NPCName.SandElemental","Sand Elemental"
"NPCName.SandShark","Sand Shark"
"NPCName.SandsharkCorrupt","Bone Biter"
"NPCName.SandsharkCrimson","Flesh Reaver"
"NPCName.SandsharkHallow","Crystal Thresher"
"NPCName.SandSlime","Sand Slime"
"NPCName.SantaClaus","Santa Claus"
"NPCName.SantaNK1","Santa-NK1"
"NPCName.Scarecrow1","Scarecrow"
"NPCName.Scarecrow10","Scarecrow"
"NPCName.Scarecrow2","Scarecrow"
"NPCName.Scarecrow3","Scarecrow"
"NPCName.Scarecrow4","Scarecrow"
"NPCName.Scarecrow5","Scarecrow"
"NPCName.Scarecrow6","Scarecrow"
"NPCName.Scarecrow7","Scarecrow"
"NPCName.Scarecrow8","Scarecrow"
"NPCName.Scarecrow9","Scarecrow"
"NPCName.Scorpion","Scorpion"
"NPCName.ScorpionBlack","Scorpion"
"NPCName.Scutlix","Scutlix"
"NPCName.ScutlixRider","Scutlix Gunner"
"NPCName.Seagull","Seagull"
"NPCName.Seagull2","Seagull"
"NPCName.Seahorse","Seahorse"
"NPCName.SeaSnail","Sea Snail"
"NPCName.SeaTurtle","Sea Turtle"
"NPCName.SeekerBody","World Feeder"
"NPCName.SeekerHead","World Feeder"
"NPCName.SeekerTail","World Feeder"
"NPCName.ServantofCthulhu","Servant of Cthulhu"
"NPCName.ShadowFlameApparition","Shadowflame Apparition"
"NPCName.Shark","Shark"
"NPCName.Sharkron","Sharkron"
"NPCName.Sharkron2","Sharkron"
"NPCName.Skeleton","Skeleton"
"NPCName.SkeletonAlien","Skeleton"
"NPCName.SkeletonArcher","Skeleton Archer"
"NPCName.SkeletonAstonaut","Skeleton"
"NPCName.SkeletonCommando","Skeleton Commando"
"NPCName.SkeletonMerchant","Skeleton Merchant"
"NPCName.SkeletonSniper","Skeleton Sniper"
"NPCName.SkeletonTopHat","Skeleton"
"NPCName.SkeletronHand","Skeletron"
"NPCName.SkeletronHead","Skeletron"
"NPCName.SkeletronPrime","Skeletron Prime"
"NPCName.SleepingAngler","Sleeping Angler"
"NPCName.SleepyEye","Demon Eye"
"NPCName.SlimedZombie","Zombie"
"NPCName.Slimeling","Slimeling"
"NPCName.SlimeMasked","Slime"
"NPCName.Slimer","Slimer"
"NPCName.Slimer2","Slimer"
"NPCName.SlimeRibbonGreen","Slime"
"NPCName.SlimeRibbonRed","Slime"
"NPCName.SlimeRibbonWhite","Slime"
"NPCName.SlimeRibbonYellow","Slime"
"NPCName.SlimeSpiked","Spiked Slime"
"NPCName.Sluggy","Sluggy"
"NPCName.SmallRainZombie","Zombie"
"NPCName.Snail","Snail"
"NPCName.Snatcher","Snatcher"
"NPCName.SnowBalla","Snow Balla"
"NPCName.SnowFlinx","Snow Flinx"
"NPCName.SnowmanGangsta","Snowman Gangsta"
"NPCName.SolarCorite","Corite"
"NPCName.SolarCrawltipedeBody","Crawltipede"
"NPCName.SolarCrawltipedeHead","Crawltipede"
"NPCName.SolarCrawltipedeTail","Crawltipede"
"NPCName.SolarDrakomire","Drakomire"
"NPCName.SolarDrakomireRider","Drakomire Rider"
"NPCName.SolarFlare","Solar Flare"
"NPCName.SolarGoop","Solar Fragment"
"NPCName.SolarSolenian","Selenian"
"NPCName.SolarSpearman","Drakanian"
"NPCName.SolarSroller","Sroller"
"NPCName.Spazmatism","Spazmatism"
"NPCName.SpikeBall","Spike Ball"
"NPCName.SpikedIceSlime","Spiked Ice Slime"
"NPCName.SpikedJungleSlime","Spiked Jungle Slime"
"NPCName.Splinterling","Splinterling"
"NPCName.Spore","Spore"
"NPCName.SporeBat","Spore Bat"
"NPCName.SporeSkeleton","Spore Skeleton"
"NPCName.Squid","Squid"
"NPCName.Squirrel","Squirrel"
"NPCName.SquirrelGold","Gold Squirrel"
"NPCName.SquirrelRed","Red Squirrel"
"NPCName.StardustCellBig","Star Cell"
"NPCName.StardustCellSmall","Star Cell"
"NPCName.StardustJellyfishBig","Flow Invader"
"NPCName.StardustSoldier","Stargazer"
"NPCName.StardustSpiderBig","Twinkle Popper"
"NPCName.StardustSpiderSmall","Twinkle"
"NPCName.StardustWormHead","Milkyway Weaver"
"NPCName.Steampunker","Steampunker"
"NPCName.Stylist","Stylist"
"NPCName.SwampThing","Swamp Thing"
"NPCName.SwampZombie","Zombie"
"NPCName.TacticalSkeleton","Tactical Skeleton"
"NPCName.TargetDummy","Target Dummy"
"NPCName.TaxCollector","Tax Collector"
"NPCName.TheBride","The Bride"
"NPCName.TheDestroyer","The Destroyer"
"NPCName.TheDestroyerBody","The Destroyer"
"NPCName.TheDestroyerTail","The Destroyer"
"NPCName.TheGroom","The Groom"
"NPCName.TheHungry","The Hungry"
"NPCName.TheHungryII","The Hungry"
"NPCName.ThePossessed","The Possessed"
"NPCName.Tim","Tim"
"NPCName.TombCrawlerBody","Tomb Crawler"
"NPCName.TombCrawlerHead","Tomb Crawler"
"NPCName.TombCrawlerTail","Tomb Crawler"
"NPCName.TorchGod","The Torch God"
"NPCName.TorchZombie","Zombie"
"NPCName.TownBunny","Bunny"
"NPCName.TownCat","Cat"
"NPCName.TownDog","Dog"
"NPCName.ToxicSludge","Toxic Sludge"
"NPCName.TravellingMerchant","Traveling Merchant"
"NPCName.Truffle","Truffle"
"NPCName.TruffleWorm","Truffle Worm"
"NPCName.TruffleWormDigger","Truffle Worm"
"NPCName.Tumbleweed","Angry Tumbler"
"NPCName.Turtle","Turtle"
"NPCName.TurtleJungle","Jungle Turtle"
"NPCName.TwiggyZombie","Zombie"
"NPCName.UmbrellaSlime","Umbrella Slime"
"NPCName.UndeadMiner","Undead Miner"
"NPCName.UndeadViking","Undead Viking"
"NPCName.Unicorn","Unicorn"
"NPCName.Vampire","Vampire"
"NPCName.VampireBat","Vampire"
"NPCName.VileSpit","Vile Spit"
"NPCName.VileSpitEaterOfWorlds","{$NPCName.VileSpit}"
"NPCName.VoodooDemon","Voodoo Demon"
"NPCName.VortexHornet","Alien Hornet"
"NPCName.VortexHornetQueen","Alien Queen"
"NPCName.VortexLarva","Alien Larva"
"NPCName.VortexRifleman","Storm Diver"
"NPCName.VortexSoldier","Vortexian"
"NPCName.Vulture","Vulture"
"NPCName.WalkingAntlion","Antlion Charger"
"NPCName.WallCreeper","Wall Creeper"
"NPCName.WallCreeperWall","Wall Creeper"
"NPCName.WallofFlesh","Wall of Flesh"
"NPCName.WallofFleshEye","Wall of Flesh"
"NPCName.WanderingEye","Wandering Eye"
"NPCName.WaterSphere","Water Sphere"
"NPCName.WaterStrider","Water Strider"
"NPCName.WebbedStylist","Webbed Stylist"
"NPCName.Werewolf","Werewolf"
"NPCName.WindyBalloon","Windy Balloon"
"NPCName.WitchDoctor","Witch Doctor"
"NPCName.Wizard","Wizard"
"NPCName.Wolf","Wolf"
"NPCName.Worm","Worm"
"NPCName.Wraith","Wraith"
"NPCName.WyvernBody","Wyvern"
"NPCName.WyvernBody2","Wyvern"
"NPCName.WyvernBody3","Wyvern"
"NPCName.WyvernHead","Wyvern"
"NPCName.WyvernLegs","Wyvern"
"NPCName.WyvernTail","Wyvern"
"NPCName.YellowDragonfly","Dragonfly"
"NPCName.YellowSlime","Yellow Slime"
"NPCName.Yeti","Yeti"
"NPCName.Zombie","Zombie"
"NPCName.ZombieDoctor","Zombie"
"NPCName.ZombieElf","Zombie Elf"
"NPCName.ZombieElfBeard","Zombie Elf"
"NPCName.ZombieElfGirl","Zombie Elf"
"NPCName.ZombieEskimo","Frozen Zombie"
"NPCName.ZombieMerman","Zombie Merman"
"NPCName.ZombieMushroom","Spore Zombie"
"NPCName.ZombieMushroomHat","Spore Zombie"
"NPCName.ZombiePixie","Zombie"
"NPCName.ZombieRaincoat","Raincoat Zombie"
"NPCName.ZombieSuperman","Zombie"
"NPCName.ZombieSweater","Zombie"
"NPCName.ZombieXmas","Zombie"
"NurseChatter.Chatter_1","I keep asking for wine, but all {Bartender} gives me are mugs of ale."
"NurseNames.Abigail","Abigail"
"NurseNames.Allison","Allison"
"NurseNames.Amy","Amy"
"NurseNames.Caitlin","Caitlin"
"NurseNames.Carly","Carly"
"NurseNames.Claire","Claire"
"NurseNames.Emily","Emily"
"NurseNames.Emma","Emma"
"NurseNames.Hannah","Hannah"
"NurseNames.Heather","Heather"
"NurseNames.Helen","Helen"
"NurseNames.Holly","Holly"
"NurseNames.Jenna","Jenna"
"NurseNames.Kaitlin","Kaitlin"
"NurseNames.Kaitlyn","Kaitlyn"
"NurseNames.Katelyn","Katelyn"
"NurseNames.Katherine","Katherine"
"NurseNames.Kathryn","Kathryn"
"NurseNames.Katie","Katie"
"NurseNames.Kayla","Kayla"
"NurseNames.Lisa","Lisa"
"NurseNames.Lorraine","Lorraine"
"NurseNames.Madeline","Madeline"
"NurseNames.Molly","Molly"
"NurseSpecialText.Graveyard1","Ahh!! I'd rather be working at an abandoned hospital than hanging around here!"
"NurseSpecialText.Graveyard2","This place creeps me out, and I can't treat dead patients!"
"NurseSpecialText.Party","No, I will not tell you how many candles are on my cake."
"NurseSpecialText.Rain1","If you stay out there too long, you'll catch a cold!"
"NurseSpecialText.Rain2","Great! Now my uniform is all wet. Stop staring!"
"NurseSpecialText.Storm1","I do not perform shock therapy, just go stand outside under a tree!"
"NurseSpecialText.Storm2","Just stay inside! I've already treated too many electrocuted patients today."
"NurseSpecialText.Windy1","This breeze is really extra right now! Beware of flying needles."
"NurseSpecialText.Windy2","I've been chasing my medical instruments all day. This gale is keeping me fit!"
"PainterNames.Bruno","Bruno"
"PainterNames.Carlo","Carlo"
"PainterNames.Darren","Darren"
"PainterNames.Enzo","Enzo"
"PainterNames.Esreadel","Esreadel"
"PainterNames.Guido","Guido"
"PainterNames.Leonardo","Leonardo"
"PainterNames.Lorenzo","Lorenzo"
"PainterNames.Luca","Luca"
"PainterNames.Luciano","Luciano"
"PainterNames.Ludo","Ludo"
"PainterNames.Luigi","Luigi"
"PainterNames.Marco","Marco"
"PainterNames.Mario","Mario"
"PainterNames.Martino","Martino"
"PainterNames.Mauro","Mauro"
"PainterNames.Raphael","Raphael"
"PainterNames.Stefano","Stefano"
"PainterSpecialText.Graveyard1","I paint walls and furniture, not bones! It isn't Dia de Muertos!"
"PainterSpecialText.Graveyard2","What a dreary place... it sure could use a splash of color, huh?"
"PainterSpecialText.Party","I tried having a paintball fight, but everyone wanted food and decorations instead."
"PainterSpecialText.Rain1","Rain is my worst nightmare. It literally rinses out all my hard work!"
"PainterSpecialText.Rain2","I painted a mural on this wall just a moment ago. Shoulda bought a weather radio!"
"PainterSpecialText.Storm1","When the thunder rolls, and the lightning strikes... it really brings out the colors on the furniture."
"PainterSpecialText.Storm2","Blink and you'll miss it. The brightest colors stand out when the lightning flashes."
"PainterSpecialText.Windy1","Feel that draft coming through? It's wafting paint fumes all over the place."
"PainterSpecialText.Windy2","This wind storm just blew all the fresh paint right off the wall!"
"PaintingArtist.Aurora","'J. Witzig'"
"PaintingArtist.Burczyk","'C. Burczyk'"
"PaintingArtist.Craig","'A. Craig'"
"PaintingArtist.Criddle","'C. Rohde'"
"PaintingArtist.Crowno","'V. Costa Moura'"
"PaintingArtist.Darthkitten","'C. Schneider'"
"PaintingArtist.darthmorf","'S. Poirier'"
"PaintingArtist.Duncan","'M. J. Duncan'"
"PaintingArtist.Garner","'W. Garner'"
"PaintingArtist.Khaios","'J. Sterling'"
"PaintingArtist.Klei","'C.J. Lee'"
"PaintingArtist.Kolf","'A. G. Kolf'"
"PaintingArtist.Lazure","'J. Hayes'"
"PaintingArtist.Leinfors","'J. Parker III'"
"PaintingArtist.Moosdijk","'R. Moosdijk'"
"PaintingArtist.Myhre","'J. T. Kjexrud'"
"PaintingArtist.Ness","'C. J. Ness'"
"PaintingArtist.Phelps","'D. Phelps'"
"PaintingArtist.UnitOne","'U. One'"
"PaintingArtist.Wright","'K. Wright'"
"PaintingArtist.Xman101","'X. Calder'"
"PaintingArtist.Zoomo","'A. Dale'"
"PartyGirlNames.Bailey","Bailey"
"PartyGirlNames.Bambi","Bambi"
"PartyGirlNames.Bunny","Bunny"
"PartyGirlNames.Candy","Candy"
"PartyGirlNames.Cherry","Cherry"
"PartyGirlNames.Dazzle","Dazzle"
"PartyGirlNames.Destiny","Destiny"
"PartyGirlNames.Fantasia","Fantasia"
"PartyGirlNames.Fantasy","Fantasy"
"PartyGirlNames.Glitter","Glitter"
"PartyGirlNames.Isis","Isis"
"PartyGirlNames.Lexus","Lexus"
"PartyGirlNames.Paris","Paris"
"PartyGirlNames.Sparkle","Sparkle"
"PartyGirlNames.Star","Star"
"PartyGirlNames.Sugar","Sugar"
"PartyGirlNames.Trixy","Trixy"
"PartyGirlSpecialText.AfterDD2Tier1","Have you seen an ogre yet? I want to ride on the back of one!"
"PartyGirlSpecialText.Cake1","Where ya been!? There's a total party going on! Here, take the cake!"
"PartyGirlSpecialText.Cake2","Shhh! Don't tell ANYONE I gave you this! It's a party surprise!"
"PartyGirlSpecialText.Cake3","Party up! You're like, in charge of the cake, {PlayerName}!"
"PartyGirlSpecialText.Graveyard1","Woo hoo! It's party time! ...Uh, why isn't anyone moving?"
"PartyGirlSpecialText.Graveyard2","We should party so loud that we LITERALLY wake the dead! Hee hee!"
"PartyGirlSpecialText.Music1","Are the tunes killing your party? I'll shuffle the playlist for you."
"PartyGirlSpecialText.Music2","I think this party could use a switch-up! How about these jams?"
"PartyGirlSpecialText.Music3","We've been partying to this song for years! Let's change it up!"
"PartyGirlSpecialText.Party_1","Hmm? Nothing special today... just kidding! It's party time, and then it's after party time!"
"PartyGirlSpecialText.Party_2","At last, my time has come!"
"PartyGirlSpecialText.Rain1","It's raining outside! Come on in and party!"
"PartyGirlSpecialText.Rain2","Oh, are you all wet? Well, shake it off!"
"PartyGirlSpecialText.Storm1","There was a sudden crash of thunder at the disco, and I panicked!"
"PartyGirlSpecialText.Storm2","Let's dance! We can shake our hips to the beat of the sky!"
"PartyGirlSpecialText.Windy1","Did somebody say hurricane party!? I'll bring the batteries!"
"PartyGirlSpecialText.Windy2","This is like, an amazing time to fling confetti everywhere!"
"PirateChatter.Chatter_1","About time we gotta barkeep around here! Me rum was almost gone!"
"PirateNames.Black Beard","Black Beard"
"PirateNames.Captain Bullywort","Captain Bullywort"
"PirateNames.Captain Morgan","Captain Morgan"
"PirateNames.Captain Stoney Dirt","Captain Stoney Dirt"
"PirateNames.David","David"
"PirateNames.Gunpowder Garry","Gunpowder Garry"
"PirateNames.Jack","Jack"
"PirateNames.Jake","Jake"
"PirateNames.James T. Beard","James T. Beard"
"PirateNames.Red Beard","Red Beard"
"PirateNames.Wet Beard","Wet Beard"
"PirateSpecialText.Graveyard1","Arr... hate to say it, but many me mateys put these holes in the ground... if ye catch me drift!"
"PirateSpecialText.Graveyard2","Hardee harr... the sea be a pirate's graveyard! Ye landlubbers waste ye time!"
"PirateSpecialText.Party","After all that cake, you might have to call me White Beard for a while."
"PirateSpecialText.Rain1","Ha har! Rain!? Jus' another day fer a pirate."
"PirateSpecialText.Rain2","Fish do fly in ye rainy skies! I seen it with me own eye!"
"PirateSpecialText.Storm1","Ahoy! Brace fer impact, swashbuckler! 'Tis a'mother of all tempests!"
"PirateSpecialText.Storm2","Great Charybdis! What manner of wrath er curses have ye sent on us now!?"
"PirateSpecialText.Windy1","Hoist the sails, ye curs! We pirates startin' a leg of a race! Yarharharr!"
"PirateSpecialText.Windy2","All hands on deck! A storm of wind be brewin'!"
"Prefix.Adept","Adept"
"Prefix.Agile","Agile"
"Prefix.Angry","Angry"
"Prefix.Annoying","Annoying"
"Prefix.Arcane","Arcane"
"Prefix.Armored","Armored"
"Prefix.Awful","Awful"
"Prefix.Awkward","Awkward"
"Prefix.Brisk","Brisk"
"Prefix.Broken","Broken"
"Prefix.Bulky","Bulky"
"Prefix.Celestial","Celestial"
"Prefix.Damaged","Damaged"
"Prefix.Dangerous","Dangerous"
"Prefix.Deadly","Deadly"
"Prefix.Deadly2","Deadly"
"Prefix.Demonic","Demonic"
"Prefix.Deranged","Deranged"
"Prefix.Dull","Dull"
"Prefix.Fleeting","Fleeting"
"Prefix.Forceful","Forceful"
"Prefix.Frenzying","Frenzying"
"Prefix.Furious","Furious"
"Prefix.Godly","Godly"
"Prefix.Guarding","Guarding"
"Prefix.Hard","Hard"
"Prefix.Hasty","Hasty"
"Prefix.Hasty2","Hasty"
"Prefix.Heavy","Heavy"
